fixture,key_hex,tolerance,edge,spill,tp,fp,fn,precision,recall,iou
spill-green,#00b140,25,-100,0,55459,6902,0,0.889322,1.000000,0.889322
spill-green,#00b140,25,-90,0,55459,6274,0,0.898369,1.000000,0.898369
spill-green,#00b140,25,-80,0,55459,5574,0,0.908672,1.000000,0.908672
spill-green,#00b140,25,-70,0,55459,4864,0,0.919367,1.000000,0.919367
spill-green,#00b140,25,-60,0,55459,4162,0,0.930192,1.000000,0.930192
spill-green,#00b140,25,-50,0,55459,3472,0,0.941084,1.000000,0.941084
spill-green,#00b140,25,-40,0,55459,2750,0,0.952756,1.000000,0.952756
spill-green,#00b140,25,-30,0,55459,2068,0,0.964052,1.000000,0.964052
spill-green,#00b140,25,-20,0,55459,1270,0,0.977613,1.000000,0.977613
spill-green,#00b140,25,-10,0,55459,496,0,0.991136,1.000000,0.991136
spill-green,#00b140,25,0,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,10,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,20,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,30,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,40,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,50,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,60,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,70,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,80,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,90,0,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,25,100,0,55459,0,0,1.000000,1.000000,1.000000
shadow-spill-green,#00b140,25,-100,0,55459,6888,0,0.889522,1.000000,0.889522
shadow-spill-green,#00b140,25,-90,0,55459,6225,0,0.899082,1.000000,0.899082
shadow-spill-green,#00b140,25,-80,0,55459,5570,0,0.908732,1.000000,0.908732
shadow-spill-green,#00b140,25,-70,0,55459,4873,0,0.919230,1.000000,0.919230
shadow-spill-green,#00b140,25,-60,0,55459,4180,0,0.929912,1.000000,0.929912
shadow-spill-green,#00b140,25,-50,0,55459,3469,0,0.941132,1.000000,0.941132
shadow-spill-green,#00b140,25,-40,0,55459,2738,0,0.952953,1.000000,0.952953
shadow-spill-green,#00b140,25,-30,0,55459,2053,0,0.964303,1.000000,0.964303
shadow-spill-green,#00b140,25,-20,0,51351,1296,4108,0.975383,0.925927,0.904784
shadow-spill-green,#00b140,25,-10,0,39294,518,16165,0.986989,0.708523,0.701967
shadow-spill-green,#00b140,25,0,0,34534,2,20925,0.999942,0.622694,0.622672
shadow-spill-green,#00b140,25,10,0,34541,2,20918,0.999942,0.622820,0.622798
shadow-spill-green,#00b140,25,20,0,34541,2,20918,0.999942,0.622820,0.622798
shadow-spill-green,#00b140,25,30,0,34541,3,20918,0.999913,0.622820,0.622787
shadow-spill-green,#00b140,25,40,0,34565,3,20894,0.999913,0.623253,0.623220
shadow-spill-green,#00b140,25,50,0,34565,3,20894,0.999913,0.623253,0.623220
shadow-spill-green,#00b140,25,60,0,34565,3,20894,0.999913,0.623253,0.623220
shadow-spill-green,#00b140,25,70,0,34585,3,20874,0.999913,0.623614,0.623580
shadow-spill-green,#00b140,25,80,0,34585,3,20874,0.999913,0.623614,0.623580
shadow-spill-green,#00b140,25,90,0,34585,4,20874,0.999884,0.623614,0.623569
shadow-spill-green,#00b140,25,100,0,34585,4,20874,0.999884,0.623614,0.623569
