backdrop_brightness,rgb_hex,rgb_distance_from_key,chroma_distance_from_key,alpha_at_tolerance_25,alpha_at_tolerance_50,alpha_at_tolerance_75
1.00,#00b140,0.0000,0.0000,0,0,0
0.95,#00a83d,9.4868,4.2769,0,0,0
0.90,#009f3a,18.9737,8.5537,0,0,0
0.85,#009636,28.7924,12.7434,0,0,0
0.80,#008e33,37.3363,16.5164,0,0,0
0.75,#008530,46.8188,20.7905,0,0,0
0.70,#007c2d,56.3028,25.0656,0,0,0
0.65,#00732a,65.7875,29.3412,0,0,0
0.60,#006a26,75.6108,33.5337,255,0,0
0.55,#006123,85.0941,37.8083,255,0,0
0.50,#005920,93.6376,41.5810,255,0,0
0.45,#00501d,103.1213,45.8559,255,0,0
0.40,#00471a,112.6055,50.1312,255,0,0
