fixture,key_hex,width,height,tolerance,edge,spill,backdrop_pixels,subject_pixels,tp,fp,fn,precision,recall,iou
flat-green,#00b140,320,240,0,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,5,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,10,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,15,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,20,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,25,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,30,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,35,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,40,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,45,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,50,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,55,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,60,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,65,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,70,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,75,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,80,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,85,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-green,#00b140,320,240,90,0,0,55459,21341,55459,21341,0,0.722122,1.000000,0.722122
flat-green,#00b140,320,240,95,0,0,55459,21341,55459,21341,0,0.722122,1.000000,0.722122
flat-green,#00b140,320,240,100,0,0,55459,21341,55459,21341,0,0.722122,1.000000,0.722122
shadow-green,#00b140,320,240,0,0,0,55459,21341,24568,0,30891,1.000000,0.442994,0.442994
shadow-green,#00b140,320,240,5,0,0,55459,21341,27503,0,27956,1.000000,0.495916,0.495916
shadow-green,#00b140,320,240,10,0,0,55459,21341,28974,0,26485,1.000000,0.522440,0.522440
shadow-green,#00b140,320,240,15,0,0,55459,21341,30573,0,24886,1.000000,0.551272,0.551272
shadow-green,#00b140,320,240,20,0,0,55459,21341,32155,0,23304,1.000000,0.579798,0.579798
shadow-green,#00b140,320,240,25,0,0,55459,21341,34258,0,21201,1.000000,0.617718,0.617718
shadow-green,#00b140,320,240,30,0,0,55459,21341,37219,0,18240,1.000000,0.671108,0.671108
shadow-green,#00b140,320,240,35,0,0,55459,21341,42739,0,12720,1.000000,0.770641,0.770641
shadow-green,#00b140,320,240,40,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,45,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,50,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,55,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,60,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,65,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,70,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,75,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,80,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,85,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
shadow-green,#00b140,320,240,90,0,0,55459,21341,55459,21341,0,0.722122,1.000000,0.722122
shadow-green,#00b140,320,240,95,0,0,55459,21341,55459,21341,0,0.722122,1.000000,0.722122
shadow-green,#00b140,320,240,100,0,0,55459,21341,55459,21341,0,0.722122,1.000000,0.722122
spill-green,#00b140,320,240,0,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
spill-green,#00b140,320,240,5,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
